mssv,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8,dtbhk_9,dtbhk_10,dtbhk_11,dtbhk_12,dtbhk_13,dtbhk_14,dtbhk_15,dtbhk_16,dtbhk_17,dtbhk_18,dtbhk_19,dtbhk_20,dtbhk_21,dtbhk_22,dtbhk_23,dtbhk_24,dtb_toankhoa
D907516FXPvAibaEXe+JF4o+SEKcGHJ11J0czGJq,5.92,3.53,7.5,6.11,3.94,0,1.82,0.13,8.31,7.5,6.07,6.13,5.25,5.72,6.09,4.67,-1,-1,-1,-1,-1,-1,-1,-1,6.78
2D7CECE5XPvAibaEXe+JF4o+SEKcGCMQzap69uIQ,7.24,7.18,8.6,7.34,7.91,5.32,5.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.99
43D5F13BXPvAibaEXe+JF4o+SEKcGJ+PtNJ2F/he,5.49,6.47,6.92,7.29,7.73,8.52,7.74,7.67,7.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.33
94908D99XPvAibaEXe+JF4o+SEKcGO66xrFvn1ci,5.62,5.25,6.34,6.83,6.71,6.49,7.35,7.15,7.31,5.04,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.92
ADB95D1BXPvAibaEXe+JF4o+SEKcGDSWthX0QZQy,7.23,7.71,8.76,7.71,7.79,8,9.39,8.05,8.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.09
3526D59AXPvAibaEXe9GqQkS1wvjIRxFTurXY4N0,6.13,5.3,6.49,7.51,6.95,6.98,7.95,8.11,7.5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.28
3E7D7414XPvAibaEXe9GqQkS1wvjIQ+HucXy+oQw,3.11,0.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.04
7A0295BEXPvAibaEXe9GqQkS1wvjIY8Eyvx1K5/i,6.08,6.35,7.39,6.03,5.7,6.9,6.58,7.23,0.21,1.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.04
C4CBD3D0XPvAibaEXe9GqQkS1wvjIfdwTUgYoH3P,3.82,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.4
90F47A12XPvAibaEXe9GqQkS1wvjITU0dFA1PexQ,5.67,3.09,5.82,4.48,3.4,3.94,7.1,0.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.32
E02A6A52XPvAibaEXe/cEeFLbzGe/hwNl8VDkNKQ,8.03,6.43,6.86,7.43,6.36,7.85,8.18,6.18,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.41
CC2D217FXPvAibaEXe/cEeFLbzGe/s5QKClAH5xl,8.2,7.92,8.12,7.29,7.88,8.29,8.7,7.82,8.28,7.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.96
591013DCXPvAibaEXe/cEeFLbzGe/gkWD3xIWG3s,6.55,5.73,5.83,6.72,7.54,6.19,7.65,6.75,8.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.92
E0A5856FXPvAibaEXe/cEeFLbzGe/jly/D0Mp+/C,6.51,6.59,7.29,7.09,7.12,7.17,9,6.66,5.66,7.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.12
